run,algorithm,specification,input,setupRounds,evaluationRounds,allocationBytes,bytesPerRun
0,baseline,null,JsonExamples\evaluationInput_130elements.json,500,500,36648128,73296
0,copy,specCopySrcFirst,JsonExamples\evaluationInput_130elements.json,500,500,75809800,151619
0,baseline,null,JsonExamples\evaluationInput_1000elements.json,500,500,36648128,73296
0,copy,specCopySrcFirst,JsonExamples\evaluationInput_1000elements.json,500,500,406873144,813746
0,baseline,null,JsonExamples\evaluationInput_7500elements.json,500,500,36648128,73296
0,copy,specCopySrcFirst,JsonExamples\evaluationInput_7500elements.json,500,500,989672984,1979345
0,baseline,null,JsonExamples\evaluationInput_130elements.json,500,500,36648128,73296
0,move,specMoveSrcFirst,JsonExamples\evaluationInput_130elements.json,500,500,75794104,151588
0,baseline,null,JsonExamples\evaluationInput_1000elements.json,500,500,36648128,73296
0,move,specMoveSrcFirst,JsonExamples\evaluationInput_1000elements.json,500,500,406873144,813746
0,baseline,null,JsonExamples\evaluationInput_7500elements.json,500,500,36648128,73296
0,move,specMoveSrcFirst,JsonExamples\evaluationInput_7500elements.json,500,500,989672984,1979345
0,baseline,null,JsonExamples\evaluationInput_130elements.json,500,500,36648128,73296
0,copy,specCopySrcFirst,JsonExamples\evaluationInput_130elements.json,500,500,62647432,125294
0,baseline,null,JsonExamples\evaluationInput_1000elements.json,500,500,36648128,73296
0,copy,specCopySrcFirst,JsonExamples\evaluationInput_1000elements.json,500,500,142685512,285371
0,baseline,null,JsonExamples\evaluationInput_7500elements.json,500,500,36648128,73296
0,copy,specCopySrcFirst,JsonExamples\evaluationInput_7500elements.json,500,500,740685032,1481370
0,baseline,null,JsonExamples\evaluationInput_130elements.json,500,500,36648128,73296
0,move,specMoveSrcFirst,JsonExamples\evaluationInput_130elements.json,500,500,62646152,125292
0,baseline,null,JsonExamples\evaluationInput_1000elements.json,500,500,36648128,73296
0,move,specMoveSrcFirst,JsonExamples\evaluationInput_1000elements.json,500,500,142685832,285371
0,baseline,null,JsonExamples\evaluationInput_7500elements.json,500,500,36648128,73296
0,move,specMoveSrcFirst,JsonExamples\evaluationInput_7500elements.json,500,500,740685032,1481370
