run,algorithm,specification,input,setupRounds,evaluationRounds,allocationBytes,bytesPerRun
0,copy,specCopySrcFirstGiant,JsonExamples\evaluationInputGiant.json,1000,1000,19350766392,19350766
0,copy,specCopySrcFirstVeryBig,JsonExamples\evaluationInputVeryBig.json,1000,1000,7765357880,7765357
0,copy,specCopySrcFirstBig,JsonExamples\evaluationInputBig.json,1000,1000,1957277944,1957277
0,copy,specCopySrcFirstMid,JsonExamples\evaluationInputMid.json,1000,1000,123119800,123119
0,copy,specCopySrcFirstSmall,JsonExamples\evaluationInputSmall.json,1000,1000,38208144,38208
0,copy,specCopyDestFirstGiant,JsonExamples\evaluationInputGiant.json,1000,1000,47423902392,47423902
0,copy,specCopyDestFirstVeryBig,JsonExamples\evaluationInputVeryBig.json,1000,1000,19032398392,19032398
0,copy,specCopyDestFirstBig,JsonExamples\evaluationInputBig.json,1000,1000,4779310392,4779310
0,copy,specCopyDestFirstMid,JsonExamples\evaluationInputMid.json,1000,1000,248495288,248495
0,copy,specCopyDestFirstSmall,JsonExamples\evaluationInputSmall.json,1000,1000,44193040,44193
0,move,specMoveSrcFirstGiant,JsonExamples\evaluationInputGiant.json,1000,1000,19350766392,19350766
0,move,specMoveSrcFirstVeryBig,JsonExamples\evaluationInputVeryBig.json,1000,1000,7765358392,7765358
0,move,specMoveSrcFirstBig,JsonExamples\evaluationInputBig.json,1000,1000,1957277880,1957277
0,move,specMoveSrcFirstMid,JsonExamples\evaluationInputMid.json,1000,1000,123119736,123119
0,move,specMoveSrcFirstSmall,JsonExamples\evaluationInputSmall.json,1000,1000,38198584,38198
0,move,specMoveDestFirstGiant,JsonExamples\evaluationInputGiant.json,1000,1000,47423894392,47423894
0,move,specMoveDestFirstVeryBig,JsonExamples\evaluationInputVeryBig.json,1000,1000,19032390392,19032390
0,move,specMoveDestFirstBig,JsonExamples\evaluationInputBig.json,1000,1000,4779294392,4779294
0,move,specMoveDestFirstMid,JsonExamples\evaluationInputMid.json,1000,1000,248478968,248478
0,move,specMoveDestFirstSmall,JsonExamples\evaluationInputSmall.json,1000,1000,44204872,44204
