run,algorithm,specification,input,setupRounds,evaluationRounds,allocationBytes,bytesPerRun
0,baseline,null,measurements\inputs\evaluationInput_1_6447.json,500,500,2830168,5660
0,identity,specIdentity,measurements\inputs\evaluationInput_1_6447.json,500,500,6398568,12797
0,rename,specRename,measurements\inputs\evaluationInput_1_6447.json,500,500,7691368,15382
0,remove,specRemove,measurements\inputs\evaluationInput_1_6447.json,500,500,7720520,15441
0,baseline,null,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,2781712,5563
0,identity,specIdentity,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,6401184,12802
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,36648128,73296
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,61685736,123371
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,36648128,73296
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,141724464,283448
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,36648128,73296
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,739723656,1479447
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,36648128,73296
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,61685864,123371
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,36648128,73296
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,141730320,283460
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,36648128,73296
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,36648952,73297
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,61685776,123371
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,36648128,73296
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,141729448,283458
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,36648128,73296
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,739723752,1479447
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,36648128,73296
0,baseline,null,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,2886112,5772
0,identity,specIdentity,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,6420168,12840
0,rename,specRename,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,7729576,15459
0,remove,specRemove,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,7748168,15496
0,replace,specReplace,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,8401104,16802
0,add,specAdd,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,8532592,17065
0,copy,specCopyDestFirst,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,11950336,23900
0,copy,specCopySrcFirst,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,8730848,17461
0,move,specMoveDestFirst,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,11941176,23882
0,move,specMoveSrcFirst,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,8728632,17457
0,baseline,null,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,36648128,73296
