run,algorithm,specification,input,setupRounds,evaluationRounds,allocationBytes,bytesPerRun
0,baseline,null,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,2961040,5922
0,identity,specIdentity,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,6420928,12841
0,rename,specRename,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,7744688,15489
0,remove,specRemove,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,7400648,14801
0,replace,specReplace,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,8121288,16242
0,add,specAdd,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,8243840,16487
0,copy,specCopyDestFirst,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,11350608,22701
0,copy,specCopySrcFirst,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,8129448,16258
0,move,specMoveDestFirst,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,11358456,22716
0,move,specMoveSrcFirst,measurements\inputs\basic\evaluationInput_1_6447.json,500,500,8036416,16072
0,baseline,null,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,36648128,73296
0,identity,specIdentity,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,40108048,80216
0,rename,specRename,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,41432048,82864
0,remove,specRemove,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,41112048,82224
0,replace,specReplace,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,41902288,83804
0,add,specAdd,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,42026288,84052
0,copy,specCopyDestFirst,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,95763208,191526
0,copy,specCopySrcFirst,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,41810040,83620
0,move,specMoveDestFirst,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,95727168,191454
0,move,specMoveSrcFirst,measurements\inputs\basic\evaluationInput_2_118149.json,500,500,41809688,83619
0,baseline,null,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,750568128,1501136
0,identity,specIdentity,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,754028048,1508056
0,rename,specRename,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,755352048,1510704
0,remove,specRemove,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,755032048,1510064
0,replace,specReplace,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,755822288,1511644
0,add,specAdd,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,755946288,1511892
0,copy,specCopyDestFirst,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,809616096,1619232
0,copy,specCopySrcFirst,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,755725976,1511451
0,move,specMoveDestFirst,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,809580096,1619160
0,move,specMoveSrcFirst,measurements\inputs\basic\evaluationInput_3_2466657.json,500,500,755725976,1511451
0,baseline,null,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3000088128,6000176
0,identity,specIdentity,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3003548048,6007096
0,rename,specRename,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3004872048,6009744
0,remove,specRemove,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3004552048,6009104
0,replace,specReplace,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3005342288,6010684
0,add,specAdd,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3005466288,6010932
0,copy,specCopyDestFirst,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3059135968,6118271
0,copy,specCopySrcFirst,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3005245848,6010491
0,move,specMoveDestFirst,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3059099968,6118199
0,move,specMoveSrcFirst,measurements\inputs\basic\evaluationInput_4_9866619.json,500,500,3005245848,6010491
0,baseline,null,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7499128128,14998256
0,identity,specIdentity,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7502588048,15005176
0,rename,specRename,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7503912048,15007824
0,remove,specRemove,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7503592048,15007184
0,replace,specReplace,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7504382288,15008764
0,add,specAdd,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7504506288,15009012
0,copy,specCopyDestFirst,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7558175968,15116351
0,copy,specCopySrcFirst,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7504285848,15008571
0,move,specMoveDestFirst,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7558140136,15116280
0,move,specMoveSrcFirst,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7504285848,15008571

