run,algorithm,specification,input,setupRounds,evaluationRounds,allocationBytes,bytesPerRun
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,45324128,90648
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,45324128,90648
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,58305608,116611
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,45240128,90480
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,110426192,220852
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements2500.json,500,500,45324128,90648
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements2500.json,500,500,200504136,401008
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements5000.json,500,500,45324128,90648
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements5000.json,500,500,350503784,701007
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,45264128,90528
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,650443696,1300887
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements10000.json,500,500,45264128,90528
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements10000.json,500,500,800443696,1600887
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements15000.json,500,500,45264128,90528
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements15000.json,500,500,1100443568,2200887
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,45324128,90648
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,58296592,116593
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,45240128,90480
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,110451240,220902
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements2500.json,500,500,45324128,90648
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements2500.json,500,500,200509232,401018
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements5000.json,500,500,45324128,90648
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements5000.json,500,500,350494456,700988
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,45264128,90528
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,650434160,1300868
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements10000.json,500,500,45264128,90528
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements10000.json,500,500,800434200,1600868
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements15000.json,500,500,45264128,90528
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements15000.json,500,500,1100434200,2200868
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,45324128,90648
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,58320176,116640
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,45240128,90480
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,110425872,220851
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements2500.json,500,500,45288128,90576
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements2500.json,500,500,200498376,400996
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements5000.json,500,500,45372128,90744
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements5000.json,500,500,350551920,701103
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,45372128,90744
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,500551824,1001103
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements10000.json,500,500,45372128,90744
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements10000.json,500,500,650551696,1301103
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements15000.json,500,500,45372128,90744
0,copy,specCopySrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements15000.json,500,500,950551528,1901103
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,45324128,90648
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements0130.json,500,500,58305864,116611
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,45240128,90480
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements1000.json,500,500,110451336,220902
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements2500.json,500,500,45288128,90576
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements2500.json,500,500,200498864,400997
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements5000.json,500,500,45372128,90744
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements5000.json,500,500,350551912,701103
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,45372128,90744
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements7500.json,500,500,500542160,1001084
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements10000.json,500,500,45372128,90744
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements10000.json,500,500,650542328,1301084
0,baseline,null,measurements\inputs\bufferSrcFirst\evaluationInput_elements15000.json,500,500,45372128,90744
0,move,specMoveSrcFirst,measurements\inputs\bufferSrcFirst\evaluationInput_elements15000.json,500,500,950542200,1901084
0,baseline,null,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7499128128,14998256
0,copy,specCopyDestFirst_elements7,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7506867304,15013734
0,copy,specCopyDestFirst_elements130,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7558175472,15116350
0,copy,specCopyDestFirst_elements2800,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,8695743304,17391486
0,baseline,null,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7499128128,14998256
0,copy,specCopyDestFirst_elements130,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,7558175304,15116350
0,copy,specCopyDestFirst_elements1400,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,8089223304,16178446
0,copy,specCopyDestFirst_elements2800,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,8674927304,17349854
0,copy,specCopyDestFirst_elements5600,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,9845895400,19691790
0,copy,specCopyDestFirst_elements11200,measurements\inputs\basic\evaluationInput_5_24666543.json,500,500,12187795472,24375590
